player,season,surface,matches,win_rate,avg_player_rank,avg_opponent_rank,avg_rank_diff,avg_player_points,avg_opponent_points,avg_player_odds,avg_opponent_odds,underdog_matches,best_of_5_rate,underdog_win_rate
Alcaraz C.,2021,Hard,27,0.6296296296296297,80.44444444444444,67.44444444444444,13.0,1025.6296296296296,1974.2962962962963,2.1685185185185185,2.325925925925926,10,0.2222222222222222,0.7
Alcaraz C.,2022,Clay,30,0.8666666666666667,11.2,53.0,-41.8,3815.6666666666665,2364.133333333333,1.272,6.142666666666667,1,0.16666666666666666,1.0
Alcaraz C.,2022,Hard,31,0.8064516129032258,10.67741935483871,32.32258064516129,-21.64516129032258,4112.290322580645,2256.8709677419356,1.3377419354838709,4.28,1,0.2903225806451613,0.0
Alcaraz C.,2023,Clay,28,0.8928571428571429,1.7857142857142858,71.5,-69.71428571428571,6722.142857142857,1591.9642857142858,1.1189285714285715,9.688928571428573,0,0.21428571428571427,0.0
Alcaraz C.,2023,Hard,35,0.7428571428571429,1.4857142857142858,33.2,-31.714285714285715,8498.714285714286,2732.8571428571427,1.2751428571428571,6.9551428571428575,2,0.14285714285714285,0.0
Alcaraz C.,2024,Hard,31,0.7419354838709677,2.3548387096774195,55.58064516129032,-53.225806451612904,7816.129032258064,2662.8709677419356,1.1951612903225808,10.101290322580645,1,0.1935483870967742,1.0
Alcaraz C.,2025,Clay,22,0.9545454545454546,2.5,50.63636363636363,-48.13636363636363,7836.363636363636,2716.1363636363635,1.2440909090909091,8.853636363636364,2,0.2727272727272727,1.0
Alcaraz C.,2025,Hard,41,0.8536585365853658,2.1707317073170733,45.63414634146341,-43.46341463414634,8881.707317073171,2454.7804878048782,1.1909756097560975,9.906829268292682,2,0.2682926829268293,0.5
Altmaier D.,2023,Clay,18,0.5555555555555556,74.94444444444444,68.55555555555556,6.388888888888889,745.9444444444445,1275.7777777777778,2.395555555555555,2.1322222222222225,9,0.16666666666666666,0.5555555555555556
Altmaier D.,2023,Hard,15,0.2,70.53333333333333,73.6,-3.066666666666667,778.8,1337.2,3.522,1.5966666666666667,11,0.2,0.09090909090909091
Altmaier D.,2024,Clay,15,0.26666666666666666,66.33333333333333,71.0,-4.666666666666667,831.8666666666667,1266.3333333333333,2.6420000000000003,1.9266666666666667,8,0.13333333333333333,0.25
Altmaier D.,2024,Hard,16,0.4375,67.25,119.4375,-52.1875,822.875,1413.4375,3.219375,1.6681249999999999,10,0.125,0.3
Altmaier D.,2025,Hard,31,0.45161290322580644,67.38709677419355,68.29032258064517,-0.9032258064516129,873.0322580645161,1822.225806451613,3.985161290322581,1.633225806451613,24,0.12903225806451613,0.5
Anderson K.,2021,Hard,15,0.3333333333333333,75.66666666666667,55.86666666666667,19.8,927.9333333333333,1646.4,1.9626666666666668,2.2506666666666666,6,0.2,0.16666666666666666
Andujar P.,2021,Clay,15,0.4666666666666667,70.73333333333333,87.86666666666666,-17.133333333333333,990.4,1918.1333333333334,2.7213333333333334,1.9133333333333333,8,0.13333333333333333,0.25
Arnaldi M.,2023,Clay,15,0.6,92.6,74.0,18.6,653.0666666666667,1248.5333333333333,2.170666666666667,2.036,5,0.13333333333333333,0.6
Arnaldi M.,2024,Hard,32,0.53125,39.375,71.3125,-31.9375,1181.9375,1723.125,2.4740625,2.104375,16,0.15625,0.375
Arnaldi M.,2025,Hard,28,0.42857142857142855,47.32142857142857,77.67857142857143,-30.357142857142858,1185.892857142857,1872.1785714285713,2.267142857142857,1.987142857142857,13,0.07142857142857142,0.3076923076923077
Auger-Aliassime F.,2020,Hard,34,0.6176470588235294,20.705882352941178,67.0,-46.294117647058826,1860.7058823529412,1451.4117647058824,1.7120588235294119,2.7205882352941178,11,0.14705882352941177,0.36363636363636365
Auger-Aliassime F.,2021,Hard,35,0.6285714285714286,16.0,58.51428571428571,-42.51428571428571,2739.6,2155.114285714286,1.7805714285714285,3.230571428571429,9,0.2571428571428571,0.5555555555555556
